"You have been set random email. Please change it to true","У вас установлен ненастоящий email. Пожалуйста измените его."
"Welcome! Your email has been sent an email with access to your account as a gift","Добро пожаловать! На ваш email отправлено письмо с даннымио акаунте."
"Welcome back ","Добро пожаловать "
"You can not log in via this email","Вы не можете авторизироватся через данный email"
"Login and password are incorrect.","Логин и пароль неверны."
"You can not register via this email.","Вы не можете зарегестрироваться через данный email."
"Thank you for registering with ","Спасибо за регистрацию "
"There is already an account with this email address.","Существует уже запись с таким адресом электронной почты."
"Invalid email address.","Неверный адрес электронной почты."
"Please enter your email.","Пожалуйста, введите адрес электронной почты."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Если есть учетная запись, связанная с %s вы получите письмо со ссылкой для восстановления пароля."
"Enter email address","Введите email адресс"
"Enter your password","Введите ваш пароль"
"Forgot your Password","Забыли пароль"
"Create an Account","Регистрация"
